Headline,Clickability
Why Yoko Ono Is The Only Thing Standing Between New York And Catastrophic Gas Fracking,1
" I Believe In Justice. I Also Believe Prison Should Be A Life Sentence, Not A Death Sentence. ",0
"$2.85 An Hour For Back-Breaking Labor Seems Fair, Right?",0
How An Insurance Company Bought Its Very Own Senator,1
$3 A Day For 3 Months Buys All This? Sign Me Up.,0
I Wouldn't Mind Getting Sent To This Principal's Office,1
1 Billion Women Have A Story That Would Chill You To The Bone. That's A *Big* Problem.,0
Fox News Haters Will Love This Poll Result. So Will Fox News.,1
Best,1
"See The Teacher’s Resignation Video That 280,000 People Have Already Watched",1
"With A Videotaped Resignation, This Teacher Angrily Busts An Already Busted Educational System",1
"1 In 3 Americans Don’t Have Home Internet. If You’re Reading This In A Library, Go Hug A Librarian.",0
"1 Out Of 5 Of Your Friends Might Be Keeping This A Secret, Wishing They Didn't Have To",0
Two Lesbians Raised A Son And Now He's Speaking Out Against The Boy Scouts,1
"125,000 Kids A Year Need A Home, But Some States Forbid Adoption For No Reason",0
Why Homophobia Is Not An Acceptable Life Choice,1
Best,1
What Kind Of World Does Homophobia Create?,1
2 Compelling Reasons Hurting Women Is Bad For More Than Just Women.,0
2 German guys made a condom crowdfunding video and it's amazing,0
This Is What Happens When We Kill Without Caring,1
2 Guys In Bad Costumes Want To Build An App That Could Change The Course Of History. Worth A Try.,0
Possibly The Worst Thing That Can Be Done To A Child,1
2 Guys In Bad Costumes Want To Build An App That Could Change The Course Of History. Worth A Try.,1
Why Is CNN Getting Rid Of Its Best Journalist?,1
2 Italian designers came up with a genius plan to make graveyards 1000% less creepy.,0
2 Members Of Congress Debate Whether Accepting Legalized Bribes Is Cool. Righteous Honesty Prevails.,0
America's Old Nemesis Rears Its Ugly Head,1
2 Monkeys Were Paid Unequally; See What Happens Next — And Hear The Rest Of The Story,0
How Poor People Became The McDonald’s Hamburger Meat Of The American Economy,1
"2 Seconds In, People Are Going To Be Uncomfortable. By The End, They Better Still Be.",1
This Is What Happens When A Journalist Forces A Banker To Actually Answer A Question,1
2 trans men made a very clear point with their very pointed photo shoot.,0
Which Current War Has The United States Been Losing Since The 1970s?,1
This Really Offends Me About Child Offenders,1
2 trans men made a very clear point with their very pointed photo shoot.,1
"2000 were killed. Hundreds are missing. We say we care, but do nothing.",0
The Man In The Sweater Who Never Mentioned The Most Important Thing In His Life,1
"2000 were killed. Hundreds are missing. We say we care, but do nothing.",1
WINNER: The Most Depressingly Dumb Book Cover of 2013!,1
"2084 Is Calling, And They Want Their Internet Back",0
WATCH: That Awkward Moment When Anti-Immigrant Protesters Realize They're Illegal Too,1
That Awkward Moment When Anti-Immigrant Protesters Realize They're Illegal Too,1
