Headline,Attention Score
WTF? Princeton Professor Profoundly Offended By Intellectuals,-4.198217485
Stupid Law Says No Gay Marriage? Google Says Challenge Accepted.,-4.779123493
A Chart That's Giving Harsh Realities About Vaccinations,-4.252288824
"When this deaf woman went to Starbucks, she got a lot more than a tasty Frappuccino.",-3.72288374
"If you're not sure what to say to someone who's experienced something horrible, start here.",-4.340202536
"I don’t love to paint murals, but it probably beats the heck out of violating probation.",-5.168811474
It looks like a love triangle at first. Then comes the twist — and it's adorable.,-3.683729228
A charity put her face on a poster and told all of London her secret. How would you have handled it?,-4.204692619
She says this superhero has a mental illness and I agree.,-4.384907098
This test will tell you whether you're prejudiced without knowing it. I dare you to take it.,-3.608913904
A 1-minute video for any kid you know who may be depressed,-4.649352047
This test will tell you whether you're prejudiced without knowing it. I dare you to take it.,-3.290283225
A commercial that was pulled in America. It's time to change the tide.,-3.698761968
"Everyone seemed to love him, but 3 men killed him. Let's remember why we fight for equality.",-4.498053744
"She met her husband in 3rd grade. 15 years later, she interviews her old teacher, but it's so sad.",-4.498799059
"2000 were killed, hundreds are missing, and some were made slaves, but we stay quiet",-3.990666133
"She met her husband in 3rd grade. 15 years later, she interviews her old teacher, but it's so sad.",-4.432424258
She taught them both in 3rd grade. After they got married one of them interviews her. It's so sad.,-3.350708528
An 81-year-old Supreme Court justice just gave the most badass answer to a ridiculous question.,-3.464089812
"It’s meant as a compliment, but what it really says is, ‘You don't fit in.’",-3.943966357
"In every shot, only 1 word changes. But that word makes all the difference.",-4.487273508
A dog on the verge of death meets a prisoner with no hope,-3.952221077
She made a cool invention. Now she's using it to save 12 million people.,-4.247498067
"The video went viral, but did people miss what was so great about it?",-4.556810162
People who work for McDonald’s aren’t 'Lovin’ it.' So they asked the company some questions.,-4.054679306
The long showers you like to take are not the *real* problem.,-4.531295287
Meet the concerned mom who doesn't think kids need sex-ed. Then watch the Daily Show laugh at her.,-3.64677146
The way this married host acted around Kate Upton shows the sad state of respecting women.,-3.418244237
He's moving his prosthetics with his mind?! We're living in the future.,-4.694740016
Meet the concerned mom who doesn't think kids need sex-ed. Then watch the Daily Show laugh at her.,-3.652175053
"It has a 1-word chorus, but it may be the most glorious Oscar-nominated song of the last 10 years.",-4.020962016
His best friend's was killed by his own mother. Here's how he looks at it.,-3.947651878
"A cartoon about catcalling from the man's perspective is totally disturbing, and that's the point.",-3.697178257
An embarrassing dad made his kid's birthday party awful. And set public health back 100 years.,-4.690668073
This guy gained two fully functional arms thanks to the big brains of SCIENCE.,-5.291292752
What would happen if FOX news asked Walmart the tough questions?,-4.254127193
She came up with an invention to save 12 million people. Genius? Kinda.,-4.301755242
The Catholic Church is trying to solve this problem. So should we.,-4.027707404
