clickability_test_id,headline,clicks,impressions
51436093220cb80002000a26,WATCH: Princeton Professor Profoundly Offended By Intellectuals,52,3964
51436093220cb80002000a26,"FUNNY, BUT NOT: Princeton Professor Profoundly Offended By Intellectuals",54,3812
51436093220cb80002000a26,WTF? Princeton Professor Profoundly Offended By Intellectuals,55,3749
51b7b0604176603230002f1f,WATCH: Laughable Law Says No Gay Marriage? Google Says Challenge Accepted.,16,3525
51b7b0604176603230002f1f,WATCH: Laughable Law Says No Gay Marriage? Google Says Challenge Accepted.,18,3529
51b7b0604176603230002f1f,Stupid Law Says No Gay Marriage? Google Says Challenge Accepted.,22,3476
51b7b0604176603230002f1f,Stupid Law Says No Gay Marriage? Google Says Challenge Accepted.,29,3539
544ada8237d2881d08000093,A Chart That's Giveing Harsh Realities About Vaccinations,35,3865
544ada8237d2881d08000093,A Chart That's Giving Harsh Realities About Vaccinations,39,3865
544ada8237d2881d08000093,A Chart That's Giving Harsh Realities About Vaccinations,49,4016
544ada8237d2881d08000093,A Chart That's Giving Harsh Realities About Vaccinations,54,3883
54d1d13b6466610019290000,What's it like to be deaf in a world of 'hearing people?' Let her tell you.,8,1516
54d1d13b6466610019290000,A woman's visit to Starbucks shows us the amazing possibilities of finding 'our' people.,8,1469
54d1d13b6466610019290000,"See found the most joyful silence she'd ever experienced in, believe it or not, a busy Starbucks.",11,1565
54d1d13b6466610019290000,See how a woman found refreshment at a coffee shop — without even having to order a drink.,13,1516
54d1d13b6466610019290000,See how a trip to a coffee shop turned life around for one remarkable woman.,16,1541
54d1d13b6466610019290000,"When this deaf woman went to Starbucks, she got a lot more than a tasty Frappuccino.",36,1546
54d999f5393838001a5d0000,There are some great lessons about how to treat victims hiding in Law & Order SVU.,10,2567
54d999f5393838001a5d0000,My favorite (fictional) detective has the best (real) advice for victims/survivors.,17,2553
54d999f5393838001a5d0000,I wish every person who has been raped or abused had someone to tell them this.,19,2504
54d999f5393838001a5d0000,"If you're not sure what to say to someone who's experienced something horrible, start here.",32,2525
54db971e366238000ccc0000,What happens when teens from one of the toughest neighborhoods in NY come together through art?,4,1527
54db971e366238000ccc0000,That moment when you stereotype what a “tough” neighborhood looks like and you are so wrong.,4,1506
54db971e366238000ccc0000,"A group of teens all, on probation, discover the power of turning your dreams into something real.",7,1579
54db971e366238000ccc0000,"I don’t love to paint murals, but it probably beats the heck out of violating probation.",8,1501
54dc58ab313362001c020000,3 men try to win her heart. But she's got eyes for someone else.,17,1468
54dc58ab313362001c020000,She's looking for someone at a Valentine's party. She succeeds. But that's not all.,22,1545
54dc58ab313362001c020000,"When they kiss at the very end and her foot pops, I wanna squeal.",28,1535
54dc58ab313362001c020000,"She walks into a party and 3 men try to win her heart. By the end, she finds a lovely woman.",32,1530
54dc58ab313362001c020000,A 4-minute video that pushed me to think differently of how love looks like,36,1586
54dc58ab313362001c020000,It looks like a love triangle at first. Then comes the twist — and it's adorable.,35,1476
54dcdd34356137000c000000,They outed her without her permission but it changed her life in a great way.,11,1500
54dcdd34356137000c000000,They put her picture on a poster and told everyone her secret. So she owned it all the way.,15,1522
54dcdd34356137000c000000,She was 'outed' in a really public way. You'll love what she did with the opportunity.,18,1564
54dcdd34356137000c000000,A charity put her face on a poster and told all of London her secret. How would you have handled it?,22,1529
54dd2642336332001a320000,Batman has PTSD but no one is calling him 'crazy'. What gives?,4,1462
54dd2642336332001a320000,"If Batman can do so much awesome stuff with PTSD, why do we treat real people with PTSD so badly?",6,1542
54dd2642336332001a320000,What can a superhero with PTSD teach us about real people with PTSD?,6,1501
54dd2642336332001a320000,Maybe DC Comics doesn't explicitly say that he has PTSD but he sure matches up with all the signs.,14,1554
54dd2642336332001a320000,She says this superhero has a mental illness and I agree.,19,1583
54dd2ef23862620028430000,Whether' and 'how' is not the right question. The important question is 'why'.,6,1510
54dd2ef23862620028430000,A staggering amount of science proves that most 'racism' isn't conscious at all.,12,1484
54dd2ef23862620028430000,Overt prejudice is pretty much not cool. But that doesn't mean it's dead. Here's why.,15,1593
54dd2ef23862620028430000,"There's a big difference between prejudice, discrimination, and stereotypes. Know the difference.",16,1487
54dd2ef23862620028430000,They send the same resume as John and Jennifer. John gets hired. Not as sexist as it seems?,17,1532
54dd2ef23862620028430000,Prejudice is so hard-wired in our brains that we can't even honestly answer simple questions.,19,1466
54dd2ef23862620028430000,A black guy gets hit by 19 of the 41 bullets 4 white cops shot at him. Not as racist as you think?,24,1535
54dd2ef23862620028430000,This test will tell you whether you're prejudiced without knowing it. I dare you to take it.,40,1535
54dd383e3862620028590000,It's hard enough being a teenager. Depression doesn't help.,6,1551
54dd383e3862620028590000,Some help for teenagers contemplating suicide,6,1511
54dd383e3862620028590000,"For teenagers fighting depression, here's one minute and three seconds of hugs",6,1510
54dd383e3862620028590000,"When it comes to teen depression, maybe this video will say what words can't",8,1582
