Headline,Attention
"If You Know Anyone Who Is Afraid Of Gay People, Here's A Cartoon That Will Ease Them Back To Reality",1
"SCIENCE FACT: Gay Science, Like Straight Science, Is Really Just Plain Old Fact Science",0
The Dirty Secret In Every Restaurant Menu,1
What Happens When You Combine Financial Desperation With Your Steak?,0
A Terrified Child Genius Saves His Own Life With Engineering Skills,1
You Have 50 Seconds To Make A Suit Of Armor. GO!,0
One Conspiracy Theory That's Actually Worth Your Time,1
Would You Let Someone Steal Your Stuff And Sell It Overseas? Because That's What's Been Happening.,0
Soledad O'Brien Clashes With Anti-Gay Interview Guest,1
"CNN's Best Journalist In Action. By The Way, They're Getting Rid Of Her.",0
A Bunch Of Bullies Thought It Would Be Funny To Pummel This Kid. They Aren't Laughing Now.,1
This Bullied Kid Went Through Hell So Your Kids Won't Have To,0
"Here's A Magazine Saying ""Sorry We're Not Sorry"" For Being Racist",1
Popular Business Magazine Warns That The Minorities Care About Fancy Houses Now,0
Those Idiots From “Jackass” Have Nothing On This Air Force Vet,1
Meet The Man Who’ll Save At Least A Few Of Your Lives One Day,0
"A Very ""Shocking"" 98 Seconds. That Joke (Although Terrible) Will Make WAY More Sense After Watching.",1
"If You Enjoy The Ol' Night Sky, You Should Get Your Fill ASAP. It Genuinely Won't Be There For Long.",0
A Joke About Male Genitalia That Even Hillary Clinton Would Laugh At,1
"Finally, An Answer To The Question: Do Feminist D**k Jokes Exist?",0
The National Holiday We Used To Celebrate In November Until Thanksgiving Came Along,1
"11,000 People You Should Really Be Thankful For On Thanksgiving",0
Love It: An NFL Player Who Genuinely Respects Women,1
This 2-Time Super Bowl Champ Is Dancing For Women's Rights. Will You Join Him?,0
The CEO Of The NRA Attacks Himself In The Most Reasonable Super Bowl Ad Of 2013,1
The NRA's CEO Attacks The NRA's Biggest Fan For Being Unreasonable,0
"If You Watch This And Make It Through With Dry Eyes, Let's Not Be Friends",1
Aaron Swartz Said 'The Revolution Will Be A/B Tested' To This Woman. He Was Right.,0
Fox News Haters Will Love This Poll Result. So Will Fox News.,1
Here's 2012's Most Trusted Media Outlet. And Least Trusted Media Outlet. (They're The Same.),0
"Americans Are Better Than Any Other Country At This One, Totally F*cked Up Thing",1
Are You Genetically Predisposed To Going To Prison?,0
"WTF New York? No One Should Ever, EVER Make Art Like This.",1
Here Is Some Art That You Won't Want Life To Imitate,0
"Forget Crop Circles, The U.S. Military Does Even Weirder Stuff In The Middle Of Nowhere",1
These Cool-Looking Things DEFINITELY Don't Call To Mind A Hellish War The U.S. Wages With Robots,0
Mark Zuckerberg Wants To Hire You. You Just Have To Learn This One Thing.,1
How Kids Can Convince Their Parents That They Should Spend More Time In Front Of The Computer,0
"See The Teacher’s Resignation Video That 280,000 People Have Already Watched",1
"With A Videotaped Resignation, This Teacher Angrily Busts An Already Busted Educational System",0
This School Totally Understands The Difference Between Learning And Education,1
Would You Let These Guys Design A School?,0
Just One More Very Good Reason To Raise The Minimum Wage,1
"In A Fight Between Minimum Wage And The Glass Ceiling, Everyone Loses",0
Dumbledore Is Gay. Harry Potter Has This To Say.,1
"First He Was Harry Potter, Now He's Helping To End Teen Suicide",0
Watch A Lesbian Attack The Word 'Gay',1
"Acceptance And Tolerance Are 2 Different Things. One Changes The World, The Other Just Rots There.",0
I Can’t Believe This Is From A Television Show,1
Why You Should Treat Everyone Like Your Mother,0
¿Cómo Se Dice ‘Nada’ En Español?,1
"En Vez De ‘Sí Se Puede,’ Ya Es ‘Sí Se Shhhhhhhhh’?",0
Watch A Smart Guy Stump A Religious Bigot With Her Own Religion,1
Believe Homosexuality's An Abomination? Do I Ever Have A Daughter To Sell Into Slavery For You!,0
How To Disarm A Tea Partier With Nothing But Words,1
I Had More Inclusive Tea Parties Than This When I Was In My Terrible 2’s,0
The Crazy Reason Fewer Americans Are Adopting,1
Why Is This A Political Story? I Just See Beautiful Kids.,0
The Most Powerful Photo Of Martin Luther King Jr. I've Ever Seen,1
The Most Powerful Memories Of Martin Luther King Jr.,0
What Would Cause A Group Of 8-Year-Olds To Riot?,1
Why Do Our Children Have To Fight Our Battles? Because We're Not Doing It.,0
This Is Not An Acceptable Solution To Child Abuse,1
I Don't Think Toy Soldiers Are Going To Cut It,0
Here's The Chart That Most Republicans DON'T Want You To See,1
"Hey There, GOP - You Look Mighty Uncomfortable On That Fence",0
Colin Powell's Quote About Gay Marriage Is Chock-Full Of Common Sense And Decency,1
Former Member Of The Bush Administration Comes Down On The Right Side Of History,0
Possibly The Worst Thing That Can Be Done To A Child,1
The Lifeless Body Is A Metaphor,0
"Afghanistan In The 1960s. Prepare To Be Very, Very Surprised.",1
The Afghanistan That We Know Today Looks NOTHING Like The Afghanistan From The 1960s,0
The Google Maps Revelation That Is Blowing My Mind,1
The Google Maps Version Of Journalism. It's Pretty Awesome.,0
The Most Sensible Definition Of Marriage I've Ever Heard,1
Marriage Is Where A Man And A Woman Fight All The Time,0
Watch 1 Of The Best TV Shows Ever Give Liberals Their Swagger Back,1
Return Of The L Word,0
10 Amazing Honeymoon Spots That May Not Last As Long As Your Marriage,1
10 Amazing Honeymoon Spots That May Not Last As Long As The Average Marriage,0
"This Is How The U.S. Would Look, If It Turned All Its Money Into Land ",1
Why Playing Real Life Monopoly Is More Like A Game Of 'Sorry!’,0
I Thought God Hated Women Until I Saw This.,1
God Is On The Phone. She Doesn't Sound Happy.,0
How To Take Down A Little Word With A Lot Of Power,1
Why Everybody Should Have A Personal Jihad,0
Are You Falling For The Biggest Trick Designed To Get Your Cash?,1
"Introducing ‘50 Shades Of Green’, In Which Powerful Corporations Have Their Way With The Environment",0
America's Old Nemesis Rears Its Ugly Head,1
"When People Are Hungry, They Die. Can We Get 50 Million Americans Off Death Row, Please?",0
These Are Some Of The Toughest (But Important) Photos I’ve Seen This Week,1
These Wolves Are About To Find Out What Happened To The Dodo Bird,0
