Headline,Attentio Score
"If You Know Anyone Who Is Afraid Of Gay People, Here's A Cartoon That Will Ease Them Back To Reality",-3.511235736
Why Yoko Ono Is The Only Thing Standing Between New York And Catastrophic Gas Fracking,-4.360232896
It's Easy To Become Homeless. It's Almost Impossible To Get Back.,-3.903953148
"Thousands Of Protesters Are About To Descend On Washington, D.C. Here's Why.",-3.884161827
How An Insurance Company Bought Its Very Own Senator,-4.826078683
Conan O'Brien Does Some Investigative Journalism. The Result Is Hilarious.,-4.014508104
I Wouldn't Mind Getting Sent To This Principal's Office,-4.552448575
The Dirty Secret In Every Restaurant Menu,-4.027899463
The Mind-Boggling Stupidity Of The Sequester Explained In Plain English,-3.851297027
A Comedian Silences A Room For 9 Minutes. It's Not An Awkward Silence.,-3.28304299
Can You Imagine Going Through Something Like This When You Were In High School?,-3.782774072
The Real Reason They Still Play 'Mrs. Robinson' On The Radio,-3.31995905
Dude Passive-Agressively Makes Fun Of Sikh Woman On The Internet And Ends Up Eating Humble Pie,-3.97842834
Candy Has Less Sugar Than A Sandwich?,-4.570578741
Finally! An Anti-Rape Campaign That Isn't Victim Blame-y.,-3.451652387
There Is Actually One Golden Rule To Prevent Sexual Assault,-3.908014984
A Stand-Up Comedian Sums Up The Gay Rights Debate In 30 Seconds,-3.068205587
The Chart That Might Just Bring Forth The Apocalypse,-3.533996183
EPIC MASHUP: The Women Of Mad Men Sing For Their Freedom,-4.42069246
This Preacher Attacks Gay Marriage. And It Makes Me Want To Marry Him.,-3.469284987
7 Ways To Make Sure You Don't Hate Your Life And Actually Enjoy It And Stuff,-3.626576874
The Top 8 Ways To Be 'Traditionally Married' According To The Bible,-3.398394475
Why You Should Say NO To 'No Homo' And 6 Other Phrases Like It,-3.759851043
2 Years Ago Gabby Giffords Was Shot In The Head. Now She's Got Something Important To Say.,-4.230062381
Why It's Great To Grow Up In Scandinavia,-4.496958963
What A Wonderful World It'd Be If More People Would Just Commit Narcissistic And Antisocial Behavior,-3.921690411
Finally: A Mode Of Transportation That Helps Clean The Air As You Use It,-4.423800557
One Conspiracy Theory That's Actually Worth Your Time,-3.49924087
