Headline 1,Headline 2,Direction
WTF? Princeton Professor Profoundly Offended By Intellectuals,WATCH: Princeton Professor Profoundly Offended By Intellectuals,1
Stupid Law Says No Gay Marriage? Google Says Challenge Accepted.,WATCH: Laughable Law Says No Gay Marriage? Google Says Challenge Accepted.,1
A Chart That's Giving Harsh Realities About Vaccinations,A Chart That's Giveing Harsh Realities About Vaccinations,1
"When this deaf woman went to Starbucks, she got a lot more than a tasty Frappuccino.",What's it like to be deaf in a world of 'hearing people?' Let her tell you.,1
"If you're not sure what to say to someone who's experienced something horrible, start here.",There are some great lessons about how to treat victims hiding in Law & Order SVU.,1
"I don’t love to paint murals, but it probably beats the heck out of violating probation.",What happens when teens from one of the toughest neighborhoods in NY come together through art?,1
It looks like a love triangle at first. Then comes the twist — and it's adorable.,3 men try to win her heart. But she's got eyes for someone else.,1
A charity put her face on a poster and told all of London her secret. How would you have handled it?,They outed her without her permission but it changed her life in a great way.,1
She says this superhero has a mental illness and I agree.,Batman has PTSD but no one is calling him 'crazy'. What gives?,1
This test will tell you whether you're prejudiced without knowing it. I dare you to take it.,Whether' and 'how' is not the right question. The important question is 'why'.,1
A 1-minute video for any kid you know who may be depressed,It's hard enough being a teenager. Depression doesn't help.,1
This test will tell you whether you're prejudiced without knowing it. I dare you to take it.,This test will tell you whether you're sexist without knowing it. I dare you to take it.,1
A commercial that was pulled in America. It's time to change the tide.,They're afraid to air it in the U.S. But I think it's a changing Tide,1
"Everyone seemed to love him, but 3 men killed him. Let's remember why we fight for equality.",Matt Shepard was a friend of mine - a documentary about 1 hate crime,1
"She met her husband in 3rd grade. 15 years later, she interviews her old teacher, but it's so sad.",She interviewed her 3rd grade teacher just a few months before the tragedy. Heartbreaking.,1
"2000 were killed, hundreds are missing, and some were made slaves, but we stay quiet","The more we ignore what's going on in Nigeria, the bigger the problem gets",1
"She met her husband in 3rd grade. 15 years later, she interviews her old teacher, but it's so sad.",She interviewed her 3rd grade teacher just a few months before the tragedy. Heartbreaking.,1
She taught them both in 3rd grade. After they got married one of them interviews her. It's so sad.,One of the 3 students killed in North Carolina made a heartbreaking recording just a few months ago.,1
An 81-year-old Supreme Court justice just gave the most badass answer to a ridiculous question.,A Supreme Court justice gets asked about women in the Supreme Court. She crushes.,1
"It’s meant as a compliment, but what it really says is, ‘You don't fit in.’","The friend thinks it’s nice, but it sounds just like ‘You don't fit in’ to the teen hearing it.",1
"In every shot, only 1 word changes. But that word makes all the difference.",The first 30 seconds show how hard it can be to be a kid. The last 30 are why you shouldn't give up.,1
A dog on the verge of death meets a prisoner with no hope,They're taking them out of prison and sending them right back in. And I'm 100% on board.,1
She made a cool invention. Now she's using it to save 12 million people.,Know someone going to Sao Paolo for vacation? Here's a 2-minute primer for them.,1
"The video went viral, but did people miss what was so great about it?","Sometimes calling something ""pet"" or ""wild"" just doesn't capture the beauty of a relationship.",1
People who work for McDonald’s aren’t 'Lovin’ it.' So they asked the company some questions.,"One of the best policies for companies on Facebook is to engage with fans. Well, most of them, anyway.",1
The long showers you like to take are not the *real* problem.,Getting people water to survive takes more than a shorter shower,1
Meet the concerned mom who doesn't think kids need sex-ed. Then watch the Daily Show laugh at her.,These Vegas students want education but one mom thinks they're full of it,1
The way this married host acted around Kate Upton shows the sad state of respecting women.,The fact that this specialty magazine is still a thing shows how sexist America still is.,1
He's moving his prosthetics with his mind?! We're living in the future.,The double amputee who's made history just by thinking about moving his arms,1
Meet the concerned mom who doesn't think kids need sex-ed. Then watch the Daily Show laugh at her.,"She doesn't think kids need sex-ed, and that's why the Daily Show is laughing at her",1
"It has a 1-word chorus, but it may be the most glorious Oscar-nominated song of the last 10 years.","It has a 1-word chorus, but it may be the most necessary Oscar-nominated song of the last 10 years.",1
His best friend's was killed by his own mother. Here's how he looks at it.,See how one guy dealt with his best friend being stabbed to death.,1
"A cartoon about catcalling from the man's perspective is totally disturbing, and that's the point.",The unfortunate thing is that the punchline is something women are actually saying every day.,1
An embarrassing dad made his kid's birthday party awful. And set public health back 100 years.,Your anti-vaccination deal is hurting poor people. Just thought you'd like to know.,1
This guy gained two fully functional arms thanks to the big brains of SCIENCE.,He's able to control his new arms just like his old arms. With his mind.,1
What would happen if FOX news asked Walmart the tough questions?,The unlikely company that's banking off government handouts should be FOX's next target,1
She came up with an invention to save 12 million people. Genius? Kinda.,"She got people to drink water previously infested with mosquitoes, and it's kinda amazing how.",1
The Catholic Church is trying to solve this problem. So should we.,It's hard to think we're running out of water when we're swimming in it halfway around the world.,1
Fox News finally went off on Walmart for their shady practices. PSYCH.,Here's what it would look like if an obnoxious TV anchor's questions were pointed in the right direction.,1
A famous athlete tattooed 50 names on his body for a sad reason. Showing them got him suspended.,"His name is Zlatan Ibrahimović. When you see him, he wants you to think of 805 million people.",1
"The next time you ask someone to pass the guacamole, remember what he says.","After you hear what he has to say, you will probably never ask for guacamole the same way again.",1
"A before and after shot that didn't change the man, but it will probably change the way you see him","He stayed the same, but my perception changed. 1 easy way to help someone.",1
A popular TV show from the 70s was one of the first to brilliantly call out unfair pay for women.,"In the 1970s, the 'Batman' TV show and the :abor Department teamed up to beat an evil foe.",1
Here is the smartest money move we could make. How dumb is it that we're not?,Some say they're against abortion. Then why aren't they all for funding contraceptives?,1
I've been waiting to hear a message like this from an elected official since my kids were little.,"From daycare rates many can't afford to unfair pay, President Obama lays out how women get robbed",1
The #1 huge thing we're all missing when we try to be environmentally friendly.,"If we're only thinking of sustainability in terms of packaging and recycling, we're doing it wrong.",1
Protein shakes aren't as harmless as you might think. Just take a look at these men.,"Some protein shakes aren't as harmless as you might think. Thankfully, there are alternatives.",1
He is black. He is privileged. And all of that concerns his parents.,"To be privileged is one thing, but to be black and privileged is what concerns his parents.",1
These racist idiots spray-painted a swastika on the dumbest/best location possible.,These idiots spray-painted a swastika on the dumbest location possible.,1
How 1 haircut and a before and after photo may change everything for people,"They became emotional when their 'before and after'. I admit it, I did too.",1
"Call her dark, call her skinny, call her beautiful, just don’t ever call her Iman","She believes we’re conditioned to be afraid. So her motto, naturally, is 'F*ck fear'.",1
Short-shorts and high kicks meet super advanced science degrees. Surprised? You shouldn't be.,They're here. They cheer. They're scientists.,1
These raw words from the past are still gut-wrenching. And still true.,"Justice was upside-down, and we still don’t seem to know which way is up.",1
"This kid's dad is just as bad as the bullies at school, until makes me smile at the end.","A dad won't let his child wear a dress to school, but then he changes his mind and it's fantastic.",1
Listen to the parts they've auditioned for and try not to say 'WTF?',Numbers don't lie. Hollywood would make even more money if they just lost the stereotypes.,1
"For every dollar we spend on it, we get $4 back. Magic? Nope. Just smart money.","The surprising pill that could mean extra money for our school system. Yes, really.",1
Why the millennials of the world could be the key to ending shame about mental illness.,"3 major reasons to start talking about mental health. Like, now.",1
"The bully punches him in the face. Later, he follows the bully home, and that's where he sees it.","The bully punches him in the face. Later, he follows the bully home, and it all suddenly makes sense",1
An actress decided to do something about the stigma of mental illness.,Why the millennials of the world could be the key to ending shame about mental illness.,1
"An actress was told to bring an “easy access skirt” to a casting. Well, dang.",Actresses are asked to bring “easy access skirts” to a casting. WTF?! *Facepalm*,1
"If you look at her hands, you'll see her struggles. Literally.",Here's a place south of the Sahara where getting water can kill you,1
2 trans men made a very clear point with their very pointed photo shoot.,A transitioning male reproduced Adam Levine's nearly nude photo to prove a point. It worked.,1
2 trans men make a very clear point with this  revealing photo shoot.,2 trans men made a very clear point with their very pointed photo shoot.,1
A transitioning male reproduced Adam Levine's nearly nude photo to prove a point. It worked.,2 trans men made a very clear point with their very pointed photo shoot.,1
"When people say his TV show’s racist, he’s like, ‘I don’t know if you know any of us.’",He started a blog about what an American Asian’s allowed to be. Now he’s got a hit show.,1
School is not going so well. Here's a cheap and easy way to fix it ... that teachers will love.,Teachers are working hard. Why does every education improvement seem to make their job harder?,1
"I thought Alan Cumming had lost his mind, then I watched the video and was so wrong.","Stop having sex today, and the FDA will let you give blood next year. #celibacychallenge,",1
A rare behind the curtain look at acting that's less glam and more racist.,A short film devoid of white people? Don't celebrate just yet.,1
Dad took blood samples at his kid's birthday party. And that's not the worst part.,"I had some weird birthday parties, but none that started an outbreak of an ""eradicated"" disease.",1
"Her story is pretty funny, but the lesson at the end will change the way you think about blaming.",A funny-but-true lesson on why we seek to blame when things don't go right,1
8 love letters to survivors of sexual violence. The one from the dad made me cry.,The beautiful love letters survivors of sexual violence wrote to themselves.,1
Ever heard of ‘Right-To-Work’? About that …,How would you like to make $1500 less a year than somebody else doing the exact same job?,1
The big problem at the Oscars that got these 3 women singing,"26 directors, screenwriters, and camera-folks have Oscar nominations. None of them are women.",1
"Teens always think they know more than their parents. About this, they probably do.",Remember how you felt about yourself as a teen? Now imagine the internet voting on it.,1
He was right about the cops 50 years ago. We didn't listen.,The dug up a video of his speech from 50 years ago. It could have been given yesterday. Eerie.,1
"Ever heard of ‘Right-To-Work’? Well, about that …",Ever heard of ‘Right-To-Work’? Ahem ...,1
It was a normal day until their family dressed as homeless people to prove a point,A social experiment to see what would happen when family members became 'homeless',1
It was a normal day until their family dressed as homeless people to prove a point,They ignore their family and get a lesson about being homeless,1
The dug up a Malcolm X speech that predicted so much of what's going on today. Creepy.,He was right about the cops 50 years ago. We didn't listen.,1
They dug up a Malcolm X speech that predicted so much of what's going on today. Creepy.,Malcolm X was right about the cops 50 years ago. We didn't listen.,1
"Teens always think they know more than their parents. About this, they probably do.",Getting through high school is as much about who you Like as who you like.,1
He put these inmates in a room with nothing but a camera and asked them to talk about their crimes.,He put inmates in a room with nothing but a camera and asked them to talk about their crimes.,1
"If you think the Oscars are racist, you should read this. Same if you don't.","What 1 year of watching media does to our children, and how the Oscars can help",1
"These parents were expecting a cute musical, instead they're rethinking what they pack for lunch",Old MacDonald had a farm and treated his animals and crops like crap,1
"At the end, the camera zooms out and you see what these kids painted. Incredible.",This one time on probation... All these people got together and transformed a community.,1
"A pole-dancing video so beautiful, my hair stood on end",Many people deal with trauma. Some heal it through pole-dancing.,1
"If you don't think the Oscars are racist, you should read this. Same if you do.",Dear Oscars: It's time for an intervention about that race problem. It's going to be OK.,1
"If you don't think the Oscars are racist, you should read this. Same if you do.",How to get some actual diversity in the Oscars,1
"Where do ideas come from? Replace that ""lightbulb moment"" with turtles cuddling.",Where do good ideas come from?,1
Dear Oscars: It's time for an intervention about your little problem.,Dear Oscars: Can we talk about your little race problem?,1
The stuff about the Oscars and race you probably hadn't considered. And really should.,"Whatever you think about the Oscars and race, you should probably learn this stuff.",1
It's a song that every 1st grader knows. But it has a dark secret.,The first part these kids act out is cringe-worthy. The second makes it all better.,1
Watch these kids shut down a problem that grown ups have been trying to solve for centuries.,Hunger is a worldwide problem. What if the solution is simple?,1
A white TV news anchor from Texas smacks down a group of racist sports fans so perfectly,They claimed the racist signs were an accident. He doesn't buy it for 1 second.,1
"Their parents expected a cute musical, but the cows had everyone cringing","They expected a cute performance, but what they got was a compelling case for better food.",1
Things are happening behind closed doors and you might want to know about them.,"What's happening with our prisons is probably not what you're concerned about, but it should be",1
The kids aren't all right. 8 photos show you why.,The kids aren't all right. 8 photographers share their takes on children in a whole new world.,1
Bill Gates has a Utopian dream. Watch this guy grill him about it.,Money can't buy happiness? Bill Gates respectfully disagrees.,1
"If the way women are treated around the world keeps you up at night, you want to meet these people.","Turning oppression into opportunity for women worldwide? All right, I’m listening…",1
"I'm so tired of hearing people fight over a bunch of pipe, but Obama's latest move got my attention.","If you're ready for our country to try a new way of doing business, you'll be so happy for the news.",1
"I'm so tired of hearing people fight over a bunch of pipe, but Obama's latest move got my attention.","Obama's come out swinging. If he'd acted like this before, where would we be?",1
This is truly one of the most innovative ways to use technology to help people.,What if you could help blind people see? You can.,1
One guy reaches out and grabs her arm. The other makes a split-second decision.,He says 16 words about sexual assault that might change everything you think.,1
"It's like that flashlight app on your phone, but for blind people.",What if you could help a blind person 'see' when they need it most?,1
What if you could help blind people see? You can.,Blind folks can do many things that those of us with sight can. But we can help them do more.,1
The president has a superpower he uses only when he absolutely has to. He just had to.,"Obama has wielded this superpower only 3 times, and lots of people are pretty happy he just did.",1
